Name,Email_x,Age,Country,Email_y,Education Level,Number of Languages Spoken,Email_x,Gender,Satisfaction Rate,Email_y,Marital Status,Number of Children
Landon Patel,landonpatel@gmail.com,32,United States,landonpatel@gmail.com,Bachelor's Degree,2,landonpatel@gmail.com,Male,8,landonpatel@gmail.com,Single,3
Cassidy Turner,cassidyturner@yahoo.com,24,Canada,cassidyturner@yahoo.com,Master's Degree,1,cassidyturner@yahoo.com,Non-binary,9,cassidyturner@yahoo.com,Married,4
Axl Thompson,axl.thompson@hotmail.com,43,United States,axl.thompson@hotmail.com,High School,3,axl.thompson@hotmail.com,Male,7,axl.thompson@hotmail.com,Single,1
Ivy Wilson,ivywilson@gmail.com,58,United Kingdom,ivywilson@gmail.com,Bachelor's Degree,4,ivywilson@gmail.com,Female,6,ivywilson@gmail.com,Divorced,0
Reece Scott,reece.scott@outlook.com,26,Australia,reece.scott@outlook.com,Doctorate,4,reece.scott@outlook.com,Male,4,reece.scott@outlook.com,Married,2
Carter Johnson,carter.johnson@yahoo.com,41,Canada,carter.johnson@yahoo.com,Bachelor's Degree,3,carter.johnson@yahoo.com,Male,7,carter.johnson@yahoo.com,Single,0
Taliyah Garcia,taliyah.garcia@hotmail.com,20,Mexico,taliyah.garcia@hotmail.com,Master's Degree,2,taliyah.garcia@hotmail.com,Female,3,taliyah.garcia@hotmail.com,Married,3
Ishaan Patel,ishaan_patel@gmail.com,34,India,ishaan_patel@gmail.com,Bachelor's Degree,1,ishaan_patel@gmail.com,Male,5,ishaan_patel@gmail.com,Divorced,2
Mikayla James,mikayla_james@hotmail.com,40,United States,mikayla_james@hotmail.com,Master's Degree,1,mikayla_james@hotmail.com,Female,9,mikayla_james@hotmail.com,Single,1
Brenton Davis,brenton.davis@yahoo.com,33,Australia,brenton.davis@yahoo.com,Bachelor's Degree,2,brenton.davis@yahoo.com,Male,6,brenton.davis@yahoo.com,Married,5
Aurora Martin,auroramartin@gmail.com,47,United Kingdom,auroramartin@gmail.com,High School,3,auroramartin@gmail.com,Female,8,auroramartin@gmail.com,Single,0
Jovany Rodriguez,jovany.rodriguez@yahoo.com,31,Mexico,jovany.rodriguez@yahoo.com,High School,1,jovany.rodriguez@yahoo.com,Male,2,jovany.rodriguez@yahoo.com,Married,4
Lillyana Hernandez,lillyana_hernandez@hotmail.com,45,United States,lillyana_hernandez@hotmail.com,Doctorate,4,lillyana_hernandez@hotmail.com,Female,10,lillyana_hernandez@hotmail.com,Divorced,3
Elvis Brown,elvis_brown@gmail.com,22,Canada,elvis_brown@gmail.com,Master's Degree,1,elvis_brown@gmail.com,Male,1,elvis_brown@gmail.com,Single,5
Livia Perez,livia_perez@yahoo.com,48,Mexico,livia_perez@yahoo.com,Master's Degree,3,livia_perez@yahoo.com,Female,5,livia_perez@yahoo.com,Married,2
Nash Cooper,nash.cooper@hotmail.com,25,United States,nash.cooper@hotmail.com,Doctorate,4,nash.cooper@hotmail.com,Male,3,nash.cooper@hotmail.com,Single,0
Janelle Lee,janelle_lee@gmail.com,56,United Kingdom,janelle_lee@gmail.com,Bachelor's Degree,2,janelle_lee@gmail.com,Female,8,janelle_lee@gmail.com,Married,2
Siena Davis,siena_davis@yahoo.com,30,Canada,siena_davis@yahoo.com,Bachelor's Degree,1,siena_davis@yahoo.com,Female,6,siena_davis@yahoo.com,Single,1
